Stage,Writing,Audio_Name,English,Japanese,sentence
1,02_The History of Sushi,sentence_1_02_05,People placed fish in rice and let it ferment so the fish could be eaten later.,人々は魚を米の中に入れて発酵させ、後で食べられるようにしました。,5
1,02_The History of Sushi,sentence_1_02_06,This style was very common in parts of Asia before sushi became popular in Japan.,この方法は、寿司が日本で広まる前にアジアの一部でよく使われていました。,6
1,02_The History of Sushi,sentence_1_02_07,"Later, Japanese cooks improved the method.",その後、日本の料理人たちはこの方法を改良しました。,7
1,02_The History of Sushi,sentence_1_02_08,They used fresh fish with rice and added vinegar for flavor.,彼らは新鮮な魚を米と一緒に使い、味を良くするために酢を加えました。,8
1,02_The History of Sushi,sentence_1_02_09,This change made sushi easier to eat and helped it become a special food enjoyed at celebrations.,この変化によって寿司は食べやすくなり、お祝いの場で楽しまれる特別な料理になりました。,9
1,02_The History of Sushi,sentence_1_02_10,"Today, sushi is loved around the world.",今日では、寿司は世界中で愛されています。,10
1,02_The History of Sushi,sentence_1_02_11,"From simple rolls to expensive dishes, sushi continues to connect Japan with many cultures.",シンプルな巻き寿司から高級な料理まで、寿司は日本と多くの文化をつなぎ続けています。,11
1,03_A Surprising Habit at the Table,sentence_1_03_00,"　When I was studying abroad, I was invited to dinner by a host family. I tried to show my respect by finishing all the food on my plate. In Japan, this is often seen as polite.
　However, my host mother quickly asked me if I wanted more. She explained that in her country, leaving a little food means you are full, but finishing everything means you are still hungry. I realized that even simple table manners can have very different meanings.","　私が留学していたとき、ホストファミリーに夕食へ招かれました。私は皿の料理をすべて食べきることで、敬意を示そうとしました。日本では、これは礼儀正しいこととよく考えられています。
　ところが、ホストマザーはすぐに「もっと食べたいの？」と尋ねました。彼女は、自分の国では少し残すのが満腹の合図で、全部食べきるのはまだ空腹だという意味だと説明しました。私は、食事のマナーのような単純なことでも、国によって意味が大きく違うのだと気づきました。",0
1,03_A Surprising Habit at the Table,sentence_1_03_01,"When I was studying abroad, I was invited to dinner by a host family.",私が留学していたとき、ホストファミリーに夕食へ招かれました。,1
1,03_A Surprising Habit at the Table,sentence_1_03_02,I tried to show my respect by finishing all the food on my plate.,私は皿の料理をすべて食べきることで、敬意を示そうとしました。,2
1,03_A Surprising Habit at the Table,sentence_1_03_03,"In Japan, this is often seen as polite.",日本では、これは礼儀正しいこととよく考えられています。,3
1,03_A Surprising Habit at the Table,sentence_1_03_04,"However, my host mother quickly asked me if I wanted more.",ところが、ホストマザーはすぐに「もっと食べたいの？」と尋ねました。,4
1,03_A Surprising Habit at the Table,sentence_1_03_05,"She explained that in her country, leaving a little food means you are full, but finishing everything means you are still hungry.",彼女は、自分の国では少し残すのが満腹の合図で、全部食べきるのはまだ空腹だという意味だと説明しました。,5
1,03_A Surprising Habit at the Table,sentence_1_03_06,I realized that even simple table manners can have very different meanings.,私は、食事のマナーのような単純なことでも、国によって意味が大きく違うのだと気づきました。,6
1,04_The Importance of Sleep,sentence_1_04_00,"　Sleep is an essential part of our daily lives. It allows our bodies and minds to rest and recover from the day’s activities.
　Most adults need around seven to eight hours of sleep each night. Without enough rest, people may feel tired, have trouble focusing, or even become sick more easily.
　During sleep, the brain organizes memories and the body repairs itself. These are just a couple of good reasons to make sure you get a good night’s sleep.","　睡眠は私たちの日常生活に欠かせないものです。体と心を休め、一日の活動から回復することができます。
　大人は通常、一晩に七〜八時間の睡眠を必要とします。十分に眠れないと、疲れを感じたり、集中できなかったり、病気にかかりやすくなったりします。
　睡眠中には、脳が記憶を整理し、体が修復されます。これらは、しっかり眠るべき理由のほんの一部です。",0
1,04_The Importance of Sleep,sentence_1_04_01,Sleep is an essential part of our daily lives.,睡眠は私たちの日常生活に欠かせないものです。,1
1,04_The Importance of Sleep,sentence_1_04_02,It allows our bodies and minds to rest and recover from the day’s activities.,体と心を休め、一日の活動から回復することができます。,2
1,04_The Importance of Sleep,sentence_1_04_03,Most adults need around seven to eight hours of sleep each night.,大人は通常、一晩に七〜八時間の睡眠を必要とします。,3
1,04_The Importance of Sleep,sentence_1_04_04,"Without enough rest, people may feel tired, have trouble focusing, or even become sick more easily.",十分に眠れないと、疲れを感じたり、集中できなかったり、病気にかかりやすくなったりします。,4
1,04_The Importance of Sleep,sentence_1_04_05,"During sleep, the brain organizes memories and the body repairs itself.",睡眠中には、脳が記憶を整理し、体が修復されます。,5
1,04_The Importance of Sleep,sentence_1_04_06,These are just a couple of good reasons to make sure you get a good night’s sleep.,これらは、しっかり眠るべき理由のほんの一部です。,6
1,05_The Nature of Water,sentence_1_05_00,"　Water is essential for all known forms of life. It makes up most of the human body and covers most of the Earth's surface.
　This simple liquid, however, can be difficult to classify. Is it a nutrient, a solvent, or both? Water helps carry nutrients through the body, but it also dissolves and removes waste.
　In large amounts, water can even be dangerous. Too much water in a short time can unbalance the body’s salts, which may lead to illness or even death. Thus, something so vital can also become harmful, depending on how it is used.","　水は、すべての既知の生命にとって不可欠である。それは人間の体の大部分を占め、地球の表面の大半を覆っている。
　しかし、この単純な液体は分類が難しい場合がある。それは栄養素なのか、それとも溶媒なのか、それとも両方なのか。水は体内で栄養を運ぶのに役立つ一方で、老廃物を溶かして排出する役割も果たす。
　大量に摂取すれば、水でさえ危険になり得る。短時間で過剰に摂取すると体内の塩分バランスが崩れ、病気や死につながることさえある。つまり、不可欠なものも使い方次第で有害になるのである。",0
1,05_The Nature of Water,sentence_1_05_01,Water is essential for all known forms of life.,水は、すべての既知の生命にとって不可欠である。,1
1,05_The Nature of Water,sentence_1_05_02,It makes up most of the human body and covers most of the Earth's surface.,それは人間の体の大部分を占め、地球の表面の大半を覆っている。,2
1,05_The Nature of Water,sentence_1_05_03,"This simple liquid, however, can be difficult to classify.",しかし、この単純な液体は分類が難しい場合がある。,3
1,05_The Nature of Water,sentence_1_05_04,"Is it a nutrient, a solvent, or both?",それは栄養素なのか、それとも溶媒なのか、それとも両方なのか。,4
1,05_The Nature of Water,sentence_1_05_05,"Water helps carry nutrients through the body, but it also dissolves and removes waste.",水は体内で栄養を運ぶのに役立つ一方で、老廃物を溶かして排出する役割も果たす。,5
1,05_The Nature of Water,sentence_1_05_06,"In large amounts, water can even be dangerous.",大量に摂取すれば、水でさえ危険になり得る。,6
1,05_The Nature of Water,sentence_1_05_07,"Too much water in a short time can unbalance the body’s salts, which may lead to illness or even death.",短時間で過剰に摂取すると体内の塩分バランスが崩れ、病気や死につながることさえある。,7
1,05_The Nature of Water,sentence_1_05_08,"Thus, something so vital can also become harmful, depending on how it is used.",つまり、不可欠なものも使い方次第で有害になるのである。,8
1,06_The Role of Sleep,sentence_1_06_00,"　Have you ever wondered why sleep is so important? Most people know that sleep gives us rest and new energy for the next day. But that is not the only benefit. For example, during sleep our brains organize the memories we made while awake.
　Another function is related to growth and repair. The body fixes cells and tissues more effectively during deep sleep. Without enough rest, the immune system becomes weaker, and we may get sick more easily.
　Sleep can also influence our emotions. A person who lacks sleep may feel irritated or sad. On the other hand, good sleep often leads to calmness and clear thinking.","　なぜ睡眠がそれほど大切なのか考えたことがありますか？ほとんどの人は、睡眠が休息を与え、翌日のための新しいエネルギーを作ることを知っています。しかし、それだけが利点ではありません。たとえば、睡眠中に私たちの脳は、起きている間に作られた記憶を整理します。
　もう一つの働きは成長と修復に関係しています。深い眠りの間に、体は細胞や組織をより効果的に修復します。十分な休養がなければ、免疫系は弱まり、病気にかかりやすくなるかもしれません。
　睡眠は私たちの感情にも影響を与えます。睡眠不足の人は、いらいらしたり悲しくなったりすることがあります。一方で、よく眠れば、落ち着きやすく、思考もすっきりするのです。",0
1,06_The Role of Sleep,sentence_1_06_01,Have you ever wondered why sleep is so important?,なぜ睡眠がそれほど大切なのか考えたことがありますか？,1
1,06_The Role of Sleep,sentence_1_06_02,Most people know that sleep gives us rest and new energy for the next day.,ほとんどの人は、睡眠が休息を与え、翌日のための新しいエネルギーを作ることを知っています。,2
1,06_The Role of Sleep,sentence_1_06_03,But that is not the only benefit.,しかし、それだけが利点ではありません。,3
1,06_The Role of Sleep,sentence_1_06_04,"For example, during sleep our brains organize the memories we made while awake.",たとえば、睡眠中に私たちの脳は、起きている間に作られた記憶を整理します。,4
1,06_The Role of Sleep,sentence_1_06_05,Another function is related to growth and repair.,もう一つの働きは成長と修復に関係しています。,5
1,06_The Role of Sleep,sentence_1_06_06,The body fixes cells and tissues more effectively during deep sleep.,深い眠りの間に、体は細胞や組織をより効果的に修復します。,6
1,06_The Role of Sleep,sentence_1_06_07,"Without enough rest, the immune system becomes weaker, and we may get sick more easily.",十分な休養がなければ、免疫系は弱まり、病気にかかりやすくなるかもしれません。,7
1,06_The Role of Sleep,sentence_1_06_08,Sleep can also influence our emotions.,睡眠は私たちの感情にも影響を与えます。,8
1,06_The Role of Sleep,sentence_1_06_09,A person who lacks sleep may feel irritated or sad.,睡眠不足の人は、いらいらしたり悲しくなったりすることがあります。,9
1,06_The Role of Sleep,sentence_1_06_10,"On the other hand, good sleep often leads to calmness and clear thinking.",一方で、よく眠れば、落ち着きやすく、思考もすっきりするのです。,10
1,07_Why Do Cats Purr?,sentence_1_07_00,"　Cats are loved all over the world. One of their most famous sounds is purring. People often think cats purr only when they are happy.
　In fact, cats also purr when they are sick or frightened. Some scientists believe that purring helps cats heal their bodies. The vibrations from purring may reduce stress and even repair bones.
　So, purring is not just a sign of joy. It is also a natural way for cats to take care of themselves.","　猫は世界中で愛されています。彼らのもっとも有名な音の一つはゴロゴロという音です。多くの人は、猫が幸せなときだけゴロゴロ鳴くと思っています。
　実際には、猫は病気のときや怖いときにも鳴きます。一部の科学者は、ゴロゴロ音が猫の体を癒すのに役立つと考えています。ゴロゴロの振動はストレスを減らし、骨を修復することさえあるかもしれません。
　ですから、ゴロゴロは喜びのサインだけではありません。それは猫が自分の体を守る自然な方法でもあるのです。",0
1,07_Why Do Cats Purr?,sentence_1_07_01,Cats are loved all over the world.,猫は世界中で愛されています。,1
1,07_Why Do Cats Purr?,sentence_1_07_02,One of their most famous sounds is purring.,彼らのもっとも有名な音の一つはゴロゴロという音です。,2
1,07_Why Do Cats Purr?,sentence_1_07_03,People often think cats purr only when they are happy.,多くの人は、猫が幸せなときだけゴロゴロ鳴くと思っています。,3
1,07_Why Do Cats Purr?,sentence_1_07_04,"In fact, cats also purr when they are sick or frightened.",実際には、猫は病気のときや怖いときにも鳴きます。,4
1,07_Why Do Cats Purr?,sentence_1_07_05,Some scientists believe that purring helps cats heal their bodies.,一部の科学者は、ゴロゴロ音が猫の体を癒すのに役立つと考えています。,5
1,07_Why Do Cats Purr?,sentence_1_07_06,The vibrations from purring may reduce stress and even repair bones.,ゴロゴロの振動はストレスを減らし、骨を修復することさえあるかもしれません。,6
1,07_Why Do Cats Purr?,sentence_1_07_07,"So, purring is not just a sign of joy.",ですから、ゴロゴロは喜びのサインだけではありません。,7
1,07_Why Do Cats Purr?,sentence_1_07_08,It is also a natural way for cats to take care of themselves.,それは猫が自分の体を守る自然な方法でもあるのです。,8
1,08_The Secret of Ancient Glass,sentence_1_08_00,"　Glass, a material we use every day, was once a rare and mysterious object. Long ago, in the lands near the Nile River, people first learned how to make it. They discovered that when sand was heated together with plant ash, it melted into a shiny, clear substance. At first, glass was used to make small beads for decoration.
　Over time, people improved their skills and created cups, bottles, and windows. The process was still difficult, and only the rich could afford glass items. If we travel to ancient ruins today, we may still find pieces of colored glass hidden in the soil. They remind us of the skill and patience of the early glassmakers.","　ガラスは、私たちが毎日使う素材ですが、かつては珍しく神秘的なものでした。昔、ナイル川の近くの土地で、人々は初めてその作り方を学びました。砂を植物の灰と一緒に熱すると、光沢のある透明な物質に溶けることを発見したのです。最初、ガラスは装飾用の小さなビーズを作るために使われました。
　やがて人々は技術を高め、カップや瓶、窓を作るようになりました。その製法は依然として難しく、裕福な人しかガラス製品を持てませんでした。今日、古代の遺跡を訪れれば、土の中に隠れた色付きガラスのかけらを見つけられるかもしれません。それらは初期のガラス職人たちの技と忍耐を思い出させてくれます。",0
1,08_The Secret of Ancient Glass,sentence_1_08_01,"Glass, a material we use every day, was once a rare and mysterious object.",ガラスは、私たちが毎日使う素材ですが、かつては珍しく神秘的なものでした。,1
1,08_The Secret of Ancient Glass,sentence_1_08_02,"Long ago, in the lands near the Nile River, people first learned how to make it.",昔、ナイル川の近くの土地で、人々は初めてその作り方を学びました。,2
1,08_The Secret of Ancient Glass,sentence_1_08_03,"They discovered that when sand was heated together with plant ash, it melted into a shiny, clear substance.",砂を植物の灰と一緒に熱すると、光沢のある透明な物質に溶けることを発見したのです。,3
1,08_The Secret of Ancient Glass,sentence_1_08_04,"At first, glass was used to make small beads for decoration.",最初、ガラスは装飾用の小さなビーズを作るために使われました。,4
1,08_The Secret of Ancient Glass,sentence_1_08_05,"Over time, people improved their skills and created cups, bottles, and windows.",やがて人々は技術を高め、カップや瓶、窓を作るようになりました。,5
1,08_The Secret of Ancient Glass,sentence_1_08_06,"The process was still difficult, and only the rich could afford glass items.",その製法は依然として難しく、裕福な人しかガラス製品を持てませんでした。,6
1,08_The Secret of Ancient Glass,sentence_1_08_07,"If we travel to ancient ruins today, we may still find pieces of colored glass hidden in the soil.",今日、古代の遺跡を訪れれば、土の中に隠れた色付きガラスのかけらを見つけられるかもしれません。,7
1,08_The Secret of Ancient Glass,sentence_1_08_08,They remind us of the skill and patience of the early glassmakers.,それらは初期のガラス職人たちの技と忍耐を思い出させてくれます。,8
1,09_The Secret of Handwriting,sentence_1_09_00,"　Handwriting may reveal more about a person than we usually think. Some researchers have suggested that the way we write letters reflects our personality. For example, people who write with large letters are often seen as outgoing, while those who write small letters are thought to be more reserved.
　In addition, the pressure of the pen can also show emotional state. Heavy pressure may suggest determination, while light pressure may suggest sensitivity. If these ideas are supported by further studies, people might pay more attention not only to what they write but also to how they write it.","　手書き文字は、私たちが思う以上に人を映し出すかもしれません。一部の研究者は、文字の書き方が性格を反映していると主張しています。たとえば、大きな文字で書く人は社交的に見られやすく、小さな文字を書く人は控えめだと考えられることがあります。
　さらに、ペンの筆圧も感情状態を示すことがあります。強い筆圧は決意を示し、弱い筆圧は繊細さを示すかもしれません。もしこれらの考えがさらなる研究で裏づけられれば、人々は「何を書くか」だけでなく「どう書くか」にも注意を払うようになるかもしれません。",0
1,09_The Secret of Handwriting,sentence_1_09_01,Handwriting may reveal more about a person than we usually think.,手書き文字は、私たちが思う以上に人を映し出すかもしれません。,1
1,09_The Secret of Handwriting,sentence_1_09_02,Some researchers have suggested that the way we write letters reflects our personality.,一部の研究者は、文字の書き方が性格を反映していると主張しています。,2
1,09_The Secret of Handwriting,sentence_1_09_03,"For example, people who write with large letters are often seen as outgoing, while those who write small letters are thought to be more reserved.",たとえば、大きな文字で書く人は社交的に見られやすく、小さな文字を書く人は控えめだと考えられることがあります。,3
1,09_The Secret of Handwriting,sentence_1_09_04,"In addition, the pressure of the pen can also show emotional state.",さらに、ペンの筆圧も感情状態を示すことがあります。,4
1,09_The Secret of Handwriting,sentence_1_09_05,"Heavy pressure may suggest determination, while light pressure may suggest sensitivity.",強い筆圧は決意を示し、弱い筆圧は繊細さを示すかもしれません。,5
1,09_The Secret of Handwriting,sentence_1_09_06,"If these ideas are supported by further studies, people might pay more attention not only to what they write but also to how they write it.",もしこれらの考えがさらなる研究で裏づけられれば、人々は「何を書くか」だけでなく「どう書くか」にも注意を払うようになるかもしれません。,6
1,10_Why Do We Yawn?,sentence_1_10_00,"　When people talk about yawning, they often say it happens because we are tired or bored. This may sound like a simple explanation, but yawning is actually more complex than that. Scientists have found that yawning can also help cool the brain when its temperature rises. When we open our mouths wide and take in air, the cool air passes over blood vessels in the head. This process lowers brain temperature and may help us stay alert. The common expression ""tired yawning"" therefore reflects only part of the truth about why humans yawn.",　人々があくびについて話すとき、私たちは疲れているか退屈だからだと言うことが多いです。これは単純な説明のように思えるかもしれませんが、実際にはあくびはもっと複雑です。科学者たちは、あくびが脳の温度が上がったときに冷やす役割を果たすこともあると発見しました。口を大きく開けて空気を取り込むと、その冷たい空気が頭の血管を通り過ぎます。この過程によって脳の温度が下がり、私たちが注意を保つのを助ける可能性があります。したがって「疲れのあくび」という一般的な表現は、人間があくびをする理由の一部しか表していないのです。,0
1,10_Why Do We Yawn?,sentence_1_10_01,"When people talk about yawning, they often say it happens because we are tired or bored.",人々があくびについて話すとき、私たちは疲れているか退屈だからだと言うことが多いです。,1
1,10_Why Do We Yawn?,sentence_1_10_02,"This may sound like a simple explanation, but yawning is actually more complex than that.",これは単純な説明のように思えるかもしれませんが、実際にはあくびはもっと複雑です。,2
1,10_Why Do We Yawn?,sentence_1_10_03,Scientists have found that yawning can also help cool the brain when its temperature rises.,科学者たちは、あくびが脳の温度が上がったときに冷やす役割を果たすこともあると発見しました。,3
1,10_Why Do We Yawn?,sentence_1_10_04,"When we open our mouths wide and take in air, the cool air passes over blood vessels in the head.",口を大きく開けて空気を取り込むと、その冷たい空気が頭の血管を通り過ぎます。,4
1,10_Why Do We Yawn?,sentence_1_10_05,This process lowers brain temperature and may help us stay alert.,この過程によって脳の温度が下がり、私たちが注意を保つのを助ける可能性があります。,5
1,10_Why Do We Yawn?,sentence_1_10_06,"The common expression ""tired yawning"" therefore reflects only part of the truth about why humans yawn.",したがって「疲れのあくび」という一般的な表現は、人間があくびをする理由の一部しか表していないのです。,6
2,11_The Growth of Recycling（1）,sentence_2_11_00,"　People today are concerned about the environment. As a result, the practice of recycling has become more popular in many countries. But what exactly does recycling mean?
　It is probably easier to explain what recycling is not. Recycling does not simply mean throwing things away. Instead, it is the process of collecting used materials and turning them into new products. This reduces waste and saves resources. So, recycling is thought to be an important way to protect the environment.
　In the United States, about one-third of all waste is recycled. The U.S. government and local communities provide special bins and services to encourage people to recycle. At present, there are thousands of recycling centers across the country, and the number continues to increase every year.","　現代の人々は環境について心配しています。その結果、多くの国でリサイクルの実践がより一般的になってきました。では、リサイクルとは正確には何を意味するのでしょうか。
　おそらく、リサイクルが「何でないか」を説明する方が簡単です。リサイクルは単に物を捨てることではありません。むしろ、使用済みの材料を集めて新しい製品に作り変えることです。これによって廃棄物が減り、資源が節約されます。したがって、リサイクルは環境を守る重要な方法だと考えられています。
　アメリカでは、全廃棄物のおよそ3分の1がリサイクルされています。アメリカ政府や地域社会は、人々がリサイクルをするよう特別なごみ箱やサービスを提供しています。現在、国中に何千ものリサイクルセンターがあり、その数は毎年増え続けています。",0
2,11_The Growth of Recycling（1）,sentence_2_11_01,People today are concerned about the environment.,現代の人々は環境について心配しています。,1
2,11_The Growth of Recycling（1）,sentence_2_11_02,"As a result, the practice of recycling has become more popular in many countries.",その結果、多くの国でリサイクルの実践がより一般的になってきました。,2
2,11_The Growth of Recycling（1）,sentence_2_11_03,But what exactly does recycling mean?,では、リサイクルとは正確には何を意味するのでしょうか。,3
2,11_The Growth of Recycling（1）,sentence_2_11_04,It is probably easier to explain what recycling is not.,おそらく、リサイクルが「何でないか」を説明する方が簡単です。,4
2,11_The Growth of Recycling（1）,sentence_2_11_05,Recycling does not simply mean throwing things away.,リサイクルは単に物を捨てることではありません。,5
2,11_The Growth of Recycling（1）,sentence_2_11_06,"Instead, it is the process of collecting used materials and turning them into new products.",むしろ、使用済みの材料を集めて新しい製品に作り変えることです。,6
2,11_The Growth of Recycling（1）,sentence_2_11_07,This reduces waste and saves resources.,これによって廃棄物が減り、資源が節約されます。,7
2,11_The Growth of Recycling（1）,sentence_2_11_08,"So, recycling is thought to be an important way to protect the environment.",したがって、リサイクルは環境を守る重要な方法だと考えられています。,8
2,11_The Growth of Recycling（1）,sentence_2_11_09,"In the United States, about one-third of all waste is recycled.",アメリカでは、全廃棄物のおよそ3分の1がリサイクルされています。,9
2,11_The Growth of Recycling（1）,sentence_2_11_10,The U.S. government and local communities provide special bins and services to encourage people to recycle.,アメリカ政府や地域社会は、人々がリサイクルをするよう特別なごみ箱やサービスを提供しています。,10
2,11_The Growth of Recycling（1）,sentence_2_11_11,"At present, there are thousands of recycling centers across the country, and the number continues to increase every year.",現在、国中に何千ものリサイクルセンターがあり、その数は毎年増え続けています。,11
2,12_The Growth of Recycling（2）,sentence_2_12_00,"　In addition to protecting the environment, another reason for the popularity of recycling is that it saves energy. For example, making aluminum cans from recycled materials uses only about five percent of the energy needed to make them from raw materials. This is why many companies support recycling programs.
　A lot of people think recycling is not efficient compared to producing new items because it sometimes costs more money. However, new studies have shown that the long-term benefits, such as reducing pollution and saving natural resources, are far greater than the costs. Still, recycling programs today require effort and cooperation from everyone. But when the environmental damage of not recycling is considered, most people would agree that the small effort we make is worth it for the future of our planet.","　環境を守ることに加えて、リサイクルが人気の理由の一つはエネルギーを節約できることです。例えば、リサイクル材料からアルミ缶を作ると、原料から作る場合のわずか5％のエネルギーしか使いません。このため、多くの企業がリサイクルプログラムを支援しています。
　多くの人は、リサイクルは新しいものを作るより効率的ではないと考えています。なぜなら、時にはより多くの費用がかかるからです。しかし、新しい研究は、汚染を減らし自然資源を守るといった長期的な利益がコストをはるかに上回ることを示しています。それでも、今日のリサイクルプログラムには人々の努力と協力が必要です。しかし、リサイクルをしないことによる環境被害を考えると、私たちが払う小さな努力は地球の未来のために十分価値があるとほとんどの人が認めるでしょう。",0
2,12_The Growth of Recycling（2）,sentence_2_12_01,"In addition to protecting the environment, another reason for the popularity of recycling is that it saves energy.",環境を守ることに加えて、リサイクルが人気の理由の一つはエネルギーを節約できることです。,1
2,12_The Growth of Recycling（2）,sentence_2_12_02,"For example, making aluminum cans from recycled materials uses only about five percent of the energy needed to make them from raw materials.",例えば、リサイクル材料からアルミ缶を作ると、原料から作る場合のわずか5％のエネルギーしか使いません。,2
2,12_The Growth of Recycling（2）,sentence_2_12_03,This is why many companies support recycling programs.,このため、多くの企業がリサイクルプログラムを支援しています。,3
2,12_The Growth of Recycling（2）,sentence_2_12_04,A lot of people think recycling is not efficient compared to producing new items because it sometimes costs more money.,多くの人は、リサイクルは新しいものを作るより効率的ではないと考えています。なぜなら、時にはより多くの費用がかかるからです。,4
2,12_The Growth of Recycling（2）,sentence_2_12_05,"However, new studies have shown that the long-term benefits, such as reducing pollution and saving natural resources, are far greater than the costs.",しかし、新しい研究は、汚染を減らし自然資源を守るといった長期的な利益がコストをはるかに上回ることを示しています。,5
2,12_The Growth of Recycling（2）,sentence_2_12_06,"Still, recycling programs today require effort and cooperation from everyone.",それでも、今日のリサイクルプログラムには人々の努力と協力が必要です。,6
2,12_The Growth of Recycling（2）,sentence_2_12_07,"But when the environmental damage of not recycling is considered, most people would agree that the small effort we make is worth it for the future of our planet.",しかし、リサイクルをしないことによる環境被害を考えると、私たちが払う小さな努力は地球の未来のために十分価値があるとほとんどの人が認めるでしょう。,7
2,13_Ancient Egyptian Medicine（1）,sentence_2_13_00,"　The study of medicine developed quickly in Europe and North America after the scientific revolution. But the practice of medicine was carried out many centuries earlier in other regions, such as Egypt.
　Over three thousand years ago, the Egyptians began to study the human body, mostly related to illness and injury. As early as 1500 B.C., they wrote a medical text called the Ebers Papyrus, which included hundreds of remedies for different diseases. Interestingly, the treatments in this book seem to have been created in Egypt without influence from Greece or Rome.","　医学の研究は、科学革命の後、ヨーロッパや北アメリカで急速に発展しました。しかし、医学の実践はそれより何世紀も前に、エジプトのような地域で行われていました。
　三千年以上前、エジプト人は人間の体の研究を始め、主に病気やけがに関連していました。紀元前1500年には、『エーベルス・パピルス』という医学文書を記し、さまざまな病気に対する数百もの治療法を含んでいました。興味深いことに、この本の治療法はギリシャやローマの影響を受けずにエジプトで生み出されたようです。",0
2,13_Ancient Egyptian Medicine（1）,sentence_2_13_01,The study of medicine developed quickly in Europe and North America after the scientific revolution.,医学の研究は、科学革命の後、ヨーロッパや北アメリカで急速に発展しました。,1
2,13_Ancient Egyptian Medicine（1）,sentence_2_13_02,"But the practice of medicine was carried out many centuries earlier in other regions, such as Egypt.",しかし、医学の実践はそれより何世紀も前に、エジプトのような地域で行われていました。,2
2,13_Ancient Egyptian Medicine（1）,sentence_2_13_03,"Over three thousand years ago, the Egyptians began to study the human body, mostly related to illness and injury.",三千年以上前、エジプト人は人間の体の研究を始め、主に病気やけがに関連していました。,3
